"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"4136",314555,70728,247.4,"BL",900,39593,1999-09-28,"RSK","DKM",1999,"ICHmc","ICH","mc"
"4137",409293,36423,41,"BA",13950,35000,1993-06-01,"RSK","DKM",1993,"CWHws","CWH","ws"
"4138",2976034,1268110,7.9,"BA",2070,41423,2013-04-28,"RSK","DKM",2013,"CWHws","CWH","ws"
"4139",1794878,98769,36.8,"BL",372,47450,2005-07-08,"ROM","DVA",2005,"SBSwk","SBS","wk"
"4140",3383113,1668217,9.9,"BL",3255,43011,2016-05-17,"RSK","DSS",2016,"SBSmc","SBS","mc"
"4141",836830,82187,35.4,"BA",23555,40449,2001-05-01,"RSK","DKM",2001,"CWHvh","CWH","vh"
"4142",1659085,109572,10.8,"BA",170,40449,2003-04-01,"RSK","DKM",2003,"CWHvm","CWH","vm"
"4143",1659085,109572,10.8,"BA",2755,39587,2003-04-01,"RSK","DKM",2003,"CWHvm","CWH","vm"
"4144",411916,40422,7.1,"BA",3240,43077,1998-05-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"4145",-395320008,-395320000,24,"BA",3075,35574,1996-06-04,"RSK","DSS",1996,"ICHmc","ICH","mc"
"4146",7499,-400460000,31.4,"BL",36720,32377,1994-08-29,"RSK","DSS",1994,"ESSFmc","ESSF","mc"
"4147",905321,-409080000,27.4,"BL",9915,43005,2003-06-01,"RSK","DSS",2003,"ICHmc","ICH","mc"
"4148",768769,28799,31.1,"BL",4035,43003,2000-05-30,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4149",768769,28799,31.1,"BL",3955,43004,2000-05-30,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4150",768769,28799,31.1,"BL",2590,43101,2000-05-30,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4151",768769,28799,31.1,"BL",1600,40023,2000-05-30,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4152",671755,47314,10.4,"BA",3040,40450,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"4153",671755,47314,10.4,"BA",480,40449,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"4154",975682,92411,18.7,"BA",1965,40449,2002-05-01,"RSK","DKM",2002,"CWHvh","CWH","vh"
